T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,,,
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,184,175,215,165,114,238,150,224,184,175
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,167,160,215,170,114,227,150,218,167,160
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,154,-1,155,-1,264,-1,240,-1,154
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,167,155,194,131,121,270,135,221,167,155
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,158,-1,144,-1,245,-1,209,-1,158
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,184,175,194,144,121,245,135,209,184,175
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,201,193,189,144,132,245,141,209,201,193
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,205,-1,204,-1,95,-1,119,-1,205,-1
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,205,193,228,165,89,238,138,224,205,193
100,1500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,-1,202,-1,215,-1,114,-1,150,-1,202,-1
