NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
SALAM PENUTUP 2,150,1000,144,150,150,233,65,150,150,150,150,98,234,146,150,241,113,180,180,184,175,218,157,121,243,159,220,184,175
SALAM PENUTUP 2,150,1000,-1,-1,-1,-1,-1,96,212,161,150,121,186,94,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2,150,1000,-1,-1,-1,-1,-1,96,226,161,150,222,67,199,198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2,150,1000,-1,110,-1,150,150,150,150,150,150,68,233,199,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2,150,1000,-1,150,-1,270,39,157,-1,-1,150,150,150,110,110,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2_2,150,1000,-1,-1,-1,270,39,157,-1,-1,150,150,150,165,165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2_2,150,1000,-1,-1,100,255,116,168,-1,-1,170,103,216,202,229,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2_2,150,1000,-1,-1,-1,212,94,150,-1,150,150,63,237,65,65,241,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2_2,150,1000,-1,-1,-1,212,94,150,-1,59,243,63,239,232,239,243,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SALAM PENUTUP 2_2,150,1000,144,130,150,150,150,150,150,59,243,63,239,232,239,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
