NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
CUCI TANGAN,100,1000,143,150,149,164,137,150,150,81,228,69,235,150,150,241,113,180,180,184,175,209,150,114,245,144,215,184,175
CUCI TANGAN,100,1000,155,-1,149,169,140,-1,-1,75,199,-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,136,-1,149,154,126,-1,-1,98,228,-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,143,-1,-1,166,131,-1,-1,75,229,-1,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,155,-1,-1,176,148,-1,-1,75,199,-1,245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,136,-1,-1,164,134,-1,-1,75,229,-1,245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,143,-1,-1,163,142,-1,-1,98,228,-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,155,-1,-1,164,142,-1,-1,75,203,-1,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,136,-1,-1,163,142,-1,-1,98,228,-1,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN,100,1000,143,-1,-1,164,142,-1,-1,75,203,-1,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,155,-1,-1,164,135,-1,-1,75,229,-1,245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,136,-1,-1,175,138,-1,-1,75,229,-1,237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,143,-1,-1,160,135,-1,-1,75,229,-1,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,155,-1,-1,160,144,-1,-1,75,229,150,150,202,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,136,-1,-1,159,144,-1,-1,57,229,150,150,202,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,143,-1,-1,160,144,-1,-1,87,246,150,150,202,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,155,-1,-1,160,144,-1,-1,61,229,150,150,202,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,136,-1,-1,169,125,-1,-1,86,229,232,63,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CUCI TANGAN 2,100,1000,143,150,149,212,94,150,150,150,150,237,55,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
