NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
NGAJAT,200,1000,144,150,149,195,106,150,150,150,150,150,150,219,206,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,195,106,150,150,106,196,83,216,219,216,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,143,157,150,150,106,196,83,216,219,206,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,191,149,150,150,150,215,53,244,100,100,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,143,150,150,150,91,150,56,216,95,104,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,191,149,150,150,150,215,53,244,127,83,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,103,133,150,150,75,229,53,245,150,150,241,146,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,140,84,150,150,82,164,59,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,219,162,150,150,143,205,59,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
NGAJAT,200,1000,144,150,149,140,84,150,150,94,164,59,240,209,209,241,113,180,180,184,175,218,157,121,243,159,220,184,175
