NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
TURUN KAKI KANAN,100,1000,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,180,180,172,163,225,157,124,243,170,220,172,163

NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
TENGAH,200,700,144,150,150,-1,150,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,180,180,184,175,218,157,121,243,159,220,184,175
MIRING KANAN,200,700,-1,-1,-1,220,163,150,150,126,205,89,240,175,209,221,113,-1,-1,163,155,-1,-1,-1,-1,154,-1,163,155
ANGKAT KAKI KIRI,200,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,151,-1,146,-1,268,-1,235,-1,151
MAJU KAKI KIRI,200,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,202,124,116,-1,139,213,-1,-1
TURUN KAKI KIRI,200,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163,155,-1,139,-1,243,-1,202,163,155
TENGAH,200,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,184,175,-1,-1,-1,-1,-1,-1,184,175
MIRING KIRI,200,700,-1,-1,-1,140,85,150,150,95,174,59,211,209,189,241,133,-1,-1,204,196,-1,147,-1,245,-1,212,204,196
ANGKAT KAKI KANAN,200,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,-1,213,-1,91,-1,124,-1,208,-1
MAJU KAKI KANAN,200,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,232,161,89,241,142,222,-1,-1
TURUN KAKI KANAN,200,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,-1,215,-1,120,-1,156,-1,204,-1
